ZONE,PER,QUANTITY
25,PER38,39
25,PER39,38
25,PER40,32
25,PER41,25
25,PER42,17
25,PER43,13
25,PER44,7
25,PER45,5
25,PER46,4
25,PER47,2
25,PER8,1
25,PER9,3
27,PER10,20
27,PER11,33
27,PER12,52
27,PER13,85
27,PER14,131
27,PER15,154
27,PER16,182
27,PER17,200
27,PER18,220
27,PER19,230
27,PER20,240
27,PER21,246
27,PER22,246
27,PER23,244
27,PER24,248
27,PER25,247
27,PER26,247
27,PER27,239
27,PER28,228
27,PER29,214
27,PER30,200
27,PER31,179
27,PER32,173
27,PER33,158
27,PER34,143
27,PER35,130
27,PER36,115
27,PER37,111
27,PER38,101
27,PER39,86
27,PER40,68
27,PER41,57
27,PER42,35
27,PER43,23
27,PER44,13
27,PER45,13
27,PER46,9
27,PER47,3
27,PER8,6
27,PER9,12
28,PER10,35
28,PER11,54
28,PER12,93
28,PER13,171
28,PER14,272
28,PER15,337
28,PER16,371
28,PER17,387
28,PER18,409
28,PER19,428
28,PER20,444
28,PER21,446
28,PER22,456
28,PER23,462
28,PER24,447
28,PER25,456
28,PER26,439
28,PER27,432
28,PER28,408
28,PER29,375
28,PER30,348
28,PER31,319
28,PER32,294
28,PER33,261
28,PER34,226
28,PER35,201
28,PER36,168
28,PER37,152
28,PER38,134
28,PER39,109
28,PER40,99
28,PER41,81
28,PER42,65
28,PER43,49
28,PER44,36
28,PER45,26
28,PER46,19
28,PER47,4
28,PER8,7
28,PER9,10
29,PER10,10
29,PER11,12
29,PER12,21
29,PER13,29
29,PER14,39
29,PER15,47
29,PER16,56
29,PER17,58
29,PER18,61
29,PER19,65
29,PER20,67
29,PER21,70
29,PER22,70
29,PER23,70
29,PER24,71
29,PER25,74
29,PER26,74
29,PER27,73
29,PER28,71
29,PER29,68
29,PER30,59
29,PER31,51
29,PER32,45
29,PER33,42
29,PER34,39
29,PER35,32
29,PER36,26
29,PER37,24
29,PER38,19
29,PER39,15
29,PER40,10
29,PER41,5
29,PER42,5
29,PER43,4
29,PER44,4
29,PER45,3
29,PER46,2
29,PER47,1
29,PER8,2
29,PER9,3
30,PER10,2
30,PER11,4
30,PER12,9
30,PER13,14
30,PER14,20
30,PER15,31
30,PER16,33
30,PER17,35
30,PER18,38
30,PER19,40
30,PER20,38
30,PER21,44
30,PER22,46
30,PER23,52
30,PER24,47
30,PER25,48
30,PER26,42
30,PER27,40
30,PER28,37
30,PER29,35
30,PER30,32
30,PER31,31
30,PER32,23
30,PER33,18
30,PER34,17
30,PER35,22
30,PER36,20
30,PER37,18
30,PER38,17
30,PER39,12
30,PER40,10
30,PER41,9
30,PER42,5
30,PER43,4
30,PER44,2
30,PER45,1
30,PER8,1
30,PER9,1
31,PER10,1
31,PER11,3
31,PER12,3
31,PER13,4
31,PER14,5
31,PER15,8
31,PER16,10
31,PER17,13
31,PER18,19
31,PER19,20
31,PER20,20
31,PER21,24
31,PER22,22
31,PER23,23
31,PER24,19
31,PER25,18
31,PER26,13
31,PER27,10
31,PER28,16
31,PER29,18
31,PER30,19
31,PER31,16
31,PER32,18
31,PER33,22
31,PER34,22
31,PER35,20
31,PER36,19
31,PER37,15
31,PER38,13
31,PER39,9
31,PER40,6
31,PER41,6
31,PER42,5
31,PER43,3
31,PER44,1
31,PER45,1
31,PER8,1
31,PER9,1
32,PER10,19
32,PER11,31
32,PER12,57
32,PER13,92
32,PER14,128
32,PER15,153
32,PER16,163
32,PER17,177
32,PER18,187
32,PER19,190
32,PER20,196
32,PER21,201
32,PER22,206
32,PER23,201
32,PER24,200
32,PER25,201
32,PER26,200
32,PER27,196
32,PER28,189
32,PER29,173
32,PER30,160
32,PER31,145
32,PER32,129
32,PER33,96
32,PER34,77
32,PER35,75
32,PER36,65
32,PER37,58
32,PER38,46
32,PER39,36
32,PER40,36
32,PER41,30
32,PER42,23
32,PER43,17
32,PER44,15
32,PER45,11
32,PER46,11
32,PER47,9
32,PER8,5
32,PER9,11
33,PER10,47
33,PER11,71
33,PER12,119
33,PER13,199
33,PER14,300
33,PER15,372
33,PER16,401
33,PER17,414
33,PER18,427
33,PER19,448
33,PER20,463
33,PER21,484
33,PER22,500
33,PER23,499
33,PER24,496
33,PER25,492
33,PER26,490
33,PER27,496
33,PER28,479
33,PER29,434
33,PER30,392
33,PER31,353
33,PER32,303
33,PER33,290
33,PER34,252
33,PER35,229
33,PER36,216
33,PER37,187
33,PER38,163
33,PER39,135
33,PER40,120
33,PER41,103
33,PER42,80
33,PER43,63
33,PER44,44
33,PER45,27
33,PER46,16
33,PER47,8
33,PER8,10
33,PER9,22
34,PER10,66
34,PER11,91
34,PER12,150
34,PER13,271
34,PER14,405
34,PER15,490
34,PER16,539
34,PER17,562
34,PER18,596
34,PER19,627
34,PER20,648
34,PER21,657
34,PER22,670
34,PER23,676
34,PER24,669
34,PER25,666
34,PER26,665
34,PER27,649
34,PER28,641
34,PER29,594
34,PER30,527
34,PER31,475
34,PER32,434
34,PER33,390
34,PER34,349
34,PER35,326
34,PER36,309
34,PER37,292
34,PER38,244
34,PER39,203
34,PER40,168
34,PER41,119
34,PER42,84
34,PER43,62
34,PER44,45
34,PER45,31
34,PER46,16
34,PER47,7
34,PER8,15
34,PER9,27
35,PER10,8
35,PER11,11
35,PER12,14
35,PER13,21
35,PER14,41
35,PER15,48
35,PER16,53
35,PER17,53
35,PER18,52
35,PER19,54
35,PER20,60
35,PER21,66
35,PER22,68
35,PER23,71
35,PER24,80
35,PER25,72
35,PER26,60
35,PER27,61
35,PER28,62
35,PER29,59
35,PER30,55
35,PER31,50
35,PER32,46
35,PER33,33
35,PER34,28
35,PER35,26
35,PER36,23
35,PER37,19
35,PER38,20
35,PER39,17
35,PER40,19
35,PER41,15
35,PER42,11
35,PER43,6
35,PER44,5
35,PER45,3
35,PER46,2
35,PER47,2
35,PER8,3
35,PER9,4
36,PER10,11
36,PER11,20
36,PER12,32
36,PER13,55
36,PER14,104
36,PER15,128
36,PER16,147
36,PER17,156
36,PER18,163
36,PER19,168
36,PER20,177
36,PER21,177
36,PER22,178
36,PER23,176
36,PER24,174
36,PER25,172
36,PER26,172
36,PER27,173
36,PER28,176
36,PER29,161
36,PER30,138
36,PER31,131
36,PER32,122
36,PER33,103
36,PER34,92
36,PER35,78
36,PER36,73
36,PER37,71
36,PER38,55
36,PER39,48
36,PER40,38
36,PER41,29
36,PER42,14
36,PER43,9
36,PER44,10
36,PER45,8
36,PER46,5
36,PER47,3
36,PER8,3
36,PER9,8
37,PER10,13
37,PER11,20
37,PER12,31
37,PER13,53
37,PER14,80
37,PER15,97
37,PER16,108
37,PER17,122
37,PER18,132
37,PER19,145
37,PER20,155
37,PER21,161
37,PER22,171
37,PER23,171
37,PER24,165
37,PER25,166
37,PER26,163
37,PER27,157
37,PER28,153
37,PER29,136
37,PER30,128
37,PER31,112
37,PER32,95
37,PER33,86
37,PER34,72
37,PER35,63
37,PER36,57
37,PER37,47
37,PER38,39
37,PER39,33
37,PER40,33
37,PER41,31
37,PER42,21
37,PER43,15
37,PER44,14
37,PER45,10
37,PER46,6
37,PER47,3
37,PER8,3
37,PER9,7
38,PER10,21
