PERSON_TYPE,PER,PURPOSE,QUANTITY,person_order
FULL-TIME WORKER,28,EATING OUT,1189,1
FULL-TIME WORKER,28,ESCORT,22748,1
FULL-TIME WORKER,28,HOME,458297,1
FULL-TIME WORKER,28,MAINTENANCE,13795,1
FULL-TIME WORKER,28,SHOP,11101,1
FULL-TIME WORKER,28,VISITING,4798,1
FULL-TIME WORKER,28,WORK,948458,1
FULL-TIME WORKER,28,WORK-BASED,12548,1
FULL-TIME WORKER,29,DISCRETIONARY,10289,1
FULL-TIME WORKER,29,EATING OUT,1068,1
FULL-TIME WORKER,29,ESCORT,19742,1
FULL-TIME WORKER,29,HOME,484010,1
FULL-TIME WORKER,29,MAINTENANCE,13653,1
FULL-TIME WORKER,29,SHOP,11037,1
FULL-TIME WORKER,29,VISITING,4705,1
FULL-TIME WORKER,29,WORK,928812,1
FULL-TIME WORKER,29,WORK-BASED,9560,1
FULL-TIME WORKER,30,DISCRETIONARY,12064,1
FULL-TIME WORKER,30,EATING OUT,1310,1
FULL-TIME WORKER,30,ESCORT,13017,1
FULL-TIME WORKER,30,HOME,535767,1
FULL-TIME WORKER,30,MAINTENANCE,13672,1
FULL-TIME WORKER,30,SHOP,11293,1
FULL-TIME WORKER,30,VISITING,4863,1
FULL-TIME WORKER,30,WORK,883508,1
FULL-TIME WORKER,30,WORK-BASED,7382,1
FULL-TIME WORKER,31,DISCRETIONARY,14417,1
FULL-TIME WORKER,31,EATING OUT,2144,1
FULL-TIME WORKER,31,ESCORT,11498,1
FULL-TIME WORKER,31,HOME,591339,1
FULL-TIME WORKER,31,MAINTENANCE,13722,1
FULL-TIME WORKER,31,SHOP,11690,1
FULL-TIME WORKER,31,VISITING,5206,1
FULL-TIME WORKER,31,WORK,827052,1
FULL-TIME WORKER,31,WORK-BASED,5808,1
FULL-TIME WORKER,32,DISCRETIONARY,18131,1
FULL-TIME WORKER,32,EATING OUT,2933,1
FULL-TIME WORKER,32,ESCORT,8674,1
FULL-TIME WORKER,32,HOME,668423,1
FULL-TIME WORKER,32,MAINTENANCE,13623,1
FULL-TIME WORKER,32,SHOP,12128,1
FULL-TIME WORKER,32,VISITING,5703,1
FULL-TIME WORKER,32,WORK,748553,1
FULL-TIME WORKER,32,WORK-BASED,4708,1
FULL-TIME WORKER,33,DISCRETIONARY,22056,1
FULL-TIME WORKER,33,EATING OUT,5410,1
FULL-TIME WORKER,33,ESCORT,8511,1
FULL-TIME WORKER,33,HOME,775064,1
FULL-TIME WORKER,33,MAINTENANCE,15220,1
FULL-TIME WORKER,33,SHOP,12671,1
FULL-TIME WORKER,33,VISITING,6527,1
FULL-TIME WORKER,33,WORK,633436,1
FULL-TIME WORKER,33,WORK-BASED,3981,1
FULL-TIME WORKER,34,DISCRETIONARY,27737,1
FULL-TIME WORKER,34,EATING OUT,9106,1
FULL-TIME WORKER,34,ESCORT,9288,1
FULL-TIME WORKER,34,HOME,899327,1
FULL-TIME WORKER,34,MAINTENANCE,17045,1
FULL-TIME WORKER,34,SHOP,15281,1
FULL-TIME WORKER,34,VISITING,8380,1
FULL-TIME WORKER,34,WORK,493175,1
FULL-TIME WORKER,34,WORK-BASED,3537,1
FULL-TIME WORKER,35,DISCRETIONARY,35366,1
FULL-TIME WORKER,35,EATING OUT,13447,1
FULL-TIME WORKER,35,ESCORT,9981,1
FULL-TIME WORKER,35,HOME,998697,1
FULL-TIME WORKER,35,MAINTENANCE,21247,1
FULL-TIME WORKER,35,SHOP,18050,1
FULL-TIME WORKER,35,VISITING,12997,1
FULL-TIME WORKER,35,WORK,369686,1
FULL-TIME WORKER,35,WORK-BASED,3405,1
FULL-TIME WORKER,36,DISCRETIONARY,48854,1
FULL-TIME WORKER,36,EATING OUT,17838,1
FULL-TIME WORKER,36,ESCORT,10288,1
FULL-TIME WORKER,36,HOME,1055379,1
FULL-TIME WORKER,36,MAINTENANCE,26276,1
FULL-TIME WORKER,36,SHOP,19863,1
FULL-TIME WORKER,36,VISITING,17180,1
FULL-TIME WORKER,36,WORK,283900,1
FULL-TIME WORKER,36,WORK-BASED,3298,1
FULL-TIME WORKER,37,DISCRETIONARY,48133,1
FULL-TIME WORKER,37,EATING OUT,18838,1
FULL-TIME WORKER,37,ESCORT,10003,1
FULL-TIME WORKER,37,HOME,1101725,1
FULL-TIME WORKER,37,MAINTENANCE,26086,1
FULL-TIME WORKER,37,SHOP,22926,1
FULL-TIME WORKER,37,VISITING,21078,1
FULL-TIME WORKER,37,WORK,230833,1
FULL-TIME WORKER,37,WORK-BASED,3254,1
FULL-TIME WORKER,38,DISCRETIONARY,44227,1
FULL-TIME WORKER,38,EATING OUT,16569,1
FULL-TIME WORKER,38,ESCORT,9065,1
FULL-TIME WORKER,38,HOME,1161562,1
FULL-TIME WORKER,38,MAINTENANCE,23090,1
FULL-TIME WORKER,38,SHOP,23448,1
FULL-TIME WORKER,38,VISITING,20556,1
FULL-TIME WORKER,38,WORK,181160,1
FULL-TIME WORKER,38,WORK-BASED,3199,1
FULL-TIME WORKER,39,DISCRETIONARY,37443,1
FULL-TIME WORKER,39,EATING OUT,13546,1
FULL-TIME WORKER,39,ESCORT,7986,1
FULL-TIME WORKER,39,HOME,1211970,1
FULL-TIME WORKER,39,MAINTENANCE,18827,1
FULL-TIME WORKER,39,SHOP,20759,1
FULL-TIME WORKER,39,VISITING,19532,1
FULL-TIME WORKER,39,WORK,149790,1
FULL-TIME WORKER,39,WORK-BASED,3023,1
FULL-TIME WORKER,40,DISCRETIONARY,29178,1
FULL-TIME WORKER,40,EATING OUT,10868,1
FULL-TIME WORKER,40,ESCORT,7200,1
FULL-TIME WORKER,40,HOME,1260674,1
FULL-TIME WORKER,40,MAINTENANCE,14301,1
FULL-TIME WORKER,40,SHOP,14763,1
FULL-TIME WORKER,40,VISITING,16756,1
FULL-TIME WORKER,40,WORK,126285,1
FULL-TIME WORKER,40,WORK-BASED,2851,1
FULL-TIME WORKER,41,DISCRETIONARY,19912,1
FULL-TIME WORKER,41,EATING OUT,7958,1
FULL-TIME WORKER,41,ESCORT,6123,1
FULL-TIME WORKER,41,HOME,1304344,1
FULL-TIME WORKER,41,MAINTENANCE,10395,1
FULL-TIME WORKER,41,SHOP,10438,1
FULL-TIME WORKER,41,VISITING,13435,1
FULL-TIME WORKER,41,WORK,107650,1
FULL-TIME WORKER,41,WORK-BASED,2621,1
FULL-TIME WORKER,42,DISCRETIONARY,9317,1
FULL-TIME WORKER,42,EATING OUT,4502,1
FULL-TIME WORKER,42,ESCORT,5212,1
FULL-TIME WORKER,42,HOME,1345177,1
FULL-TIME WORKER,42,MAINTENANCE,7256,1
FULL-TIME WORKER,42,SHOP,7441,1
FULL-TIME WORKER,42,VISITING,9833,1
