BENEFIT,BENEFIT GROUP,VALUE,CHART
travel_time_reliability_benefit,Economic Vitality,52671.2853564,coc_veryhighinc
travel_time_benefit,Economic Vitality,318026.560997,coc_veryhighinc
trk_travel_time_benefit,Economic Vitality,5609.32017409,coc_veryhighinc
dtransit_travel_time_benefit,Economic Vitality,-209.957204116,coc_veryhighinc
veh_operating_cost_benefit,Economic Vitality,0.0,coc_veryhighinc
emissions_cost_benefit,Environmental Stewardship,0.0,coc_veryhighinc
noise_pollution_cost_benefit,Environmental Stewardship,0.0,coc_veryhighinc
surface_water_pollution_cost_benefit,Environmental Stewardship,0.0,coc_veryhighinc
safety_cost_benefit,Social Goods,0.0,coc_veryhighinc
hhs_for_the_coc,Social Goods,222369.216679,coc_ext_minority
travel_options_benefit,Social Goods,110205175.551,coc_ext_minority
veh_ownership_cost_benefit,Economic Vitality,3836.03539405,coc_ext_minority
physical_activity_benefit,Social Goods,-1045.47532046,coc_ext_minority
travel_time_reliability_benefit,Economic Vitality,24016.6237216,coc_ext_minority
travel_time_benefit,Economic Vitality,123161.275695,coc_ext_minority
trk_travel_time_benefit,Economic Vitality,3549.95072482,coc_ext_minority
dtransit_travel_time_benefit,Economic Vitality,-144.922816778,coc_ext_minority
veh_operating_cost_benefit,Economic Vitality,0.0,coc_ext_minority
emissions_cost_benefit,Environmental Stewardship,0.0,coc_ext_minority
noise_pollution_cost_benefit,Environmental Stewardship,0.0,coc_ext_minority
surface_water_pollution_cost_benefit,Environmental Stewardship,0.0,coc_ext_minority
safety_cost_benefit,Social Goods,0.0,coc_ext_minority
hhs_for_the_coc,Social Goods,41539.2811308,coc_ext_lowengpro
travel_options_benefit,Social Goods,18820404.613,coc_ext_lowengpro
veh_ownership_cost_benefit,Economic Vitality,440.262012911,coc_ext_lowengpro
physical_activity_benefit,Social Goods,-197.211342826,coc_ext_lowengpro
travel_time_reliability_benefit,Economic Vitality,4514.96068641,coc_ext_lowengpro
travel_time_benefit,Economic Vitality,18628.2712293,coc_ext_lowengpro
trk_travel_time_benefit,Economic Vitality,435.728318153,coc_ext_lowengpro
dtransit_travel_time_benefit,Economic Vitality,-14.015255522,coc_ext_lowengpro
veh_operating_cost_benefit,Economic Vitality,0.0,coc_ext_lowengpro
emissions_cost_benefit,Environmental Stewardship,0.0,coc_ext_lowengpro
noise_pollution_cost_benefit,Environmental Stewardship,0.0,coc_ext_lowengpro
surface_water_pollution_cost_benefit,Environmental Stewardship,0.0,coc_ext_lowengpro
safety_cost_benefit,Social Goods,0.0,coc_ext_lowengpro
hhs_for_the_coc,Social Goods,631411.436377,coc_ext_age18or65
travel_options_benefit,Social Goods,322894592.219,coc_ext_age18or65
veh_ownership_cost_benefit,Economic Vitality,7081.28681665,coc_ext_age18or65
physical_activity_benefit,Social Goods,-3442.87399499,coc_ext_age18or65
travel_time_reliability_benefit,Economic Vitality,78183.4478436,coc_ext_age18or65
travel_time_benefit,Economic Vitality,469767.124349,coc_ext_age18or65
trk_travel_time_benefit,Economic Vitality,9264.03934856,coc_ext_age18or65
dtransit_travel_time_benefit,Economic Vitality,-308.93644786,coc_ext_age18or65
veh_operating_cost_benefit,Economic Vitality,0.0,coc_ext_age18or65
emissions_cost_benefit,Environmental Stewardship,0.0,coc_ext_age18or65
noise_pollution_cost_benefit,Environmental Stewardship,0.0,coc_ext_age18or65
surface_water_pollution_cost_benefit,Environmental Stewardship,0.0,coc_ext_age18or65
safety_cost_benefit,Social Goods,0.0,coc_ext_age18or65
hhs_for_the_coc,Social Goods,229837.422142,coc_lowinc_ext
travel_options_benefit,Social Goods,98219679.9998,coc_lowinc_ext
veh_ownership_cost_benefit,Economic Vitality,8179.01741445,coc_lowinc_ext
physical_activity_benefit,Social Goods,-1129.65030169,coc_lowinc_ext
travel_time_reliability_benefit,Economic Vitality,22673.4678575,coc_lowinc_ext
travel_time_benefit,Economic Vitality,148971.679954,coc_lowinc_ext
trk_travel_time_benefit,Economic Vitality,4501.60148101,coc_lowinc_ext
dtransit_travel_time_benefit,Economic Vitality,-156.250140786,coc_lowinc_ext
veh_operating_cost_benefit,Economic Vitality,0.0,coc_lowinc_ext
emissions_cost_benefit,Environmental Stewardship,0.0,coc_lowinc_ext
noise_pollution_cost_benefit,Environmental Stewardship,0.0,coc_lowinc_ext
surface_water_pollution_cost_benefit,Environmental Stewardship,0.0,coc_lowinc_ext
safety_cost_benefit,Social Goods,0.0,coc_lowinc_ext
hhs_for_the_coc,Social Goods,1189040.1944,everybody
travel_options_benefit,Social Goods,596392320.999,everybody
veh_ownership_cost_benefit,Economic Vitality,24454.9994755,everybody
physical_activity_benefit,Social Goods,-6548.29627333,everybody
travel_time_reliability_benefit,Economic Vitality,139960.860192,everybody
travel_time_benefit,Economic Vitality,847134.195648,everybody
trk_travel_time_benefit,Economic Vitality,40959.526335,everybody
dtransit_travel_time_benefit,Economic Vitality,-692.29657199,everybody
veh_operating_cost_benefit,Economic Vitality,-327808.060122,everybody
emissions_cost_benefit,Environmental Stewardship,-103653.690132,everybody
noise_pollution_cost_benefit,Environmental Stewardship,-8935.24035554,everybody
surface_water_pollution_cost_benefit,Environmental Stewardship,-26199.0297997,everybody
safety_cost_benefit,Social Goods,-59351.7698548,everybody
