ZONE,PER,QUANTITY
28,PER44,4
28,PER45,3
28,PER46,3
28,PER47,1
28,PER8,1
28,PER9,1
29,PER10,3
29,PER11,4
29,PER12,3
29,PER13,4
29,PER14,8
29,PER15,10
29,PER16,11
29,PER17,9
29,PER18,9
29,PER19,7
29,PER20,9
29,PER21,10
29,PER22,11
29,PER23,10
29,PER24,10
29,PER25,10
29,PER26,10
29,PER27,9
29,PER28,8
29,PER29,7
29,PER30,7
29,PER31,6
29,PER32,11
29,PER33,12
29,PER34,11
29,PER35,12
29,PER36,10
29,PER37,5
29,PER38,4
29,PER39,4
29,PER40,5
29,PER41,5
29,PER42,3
29,PER43,3
29,PER44,3
29,PER45,2
29,PER46,2
29,PER9,1
30,PER10,17
30,PER11,26
30,PER12,45
30,PER13,65
30,PER14,105
30,PER15,130
30,PER16,147
30,PER17,157
30,PER18,167
30,PER19,169
30,PER20,168
30,PER21,172
30,PER22,175
30,PER23,174
30,PER24,180
30,PER25,174
30,PER26,173
30,PER27,167
30,PER28,163
30,PER29,159
30,PER30,156
30,PER31,143
30,PER32,129
30,PER33,109
30,PER34,84
30,PER35,69
30,PER36,60
30,PER37,55
30,PER38,44
30,PER39,34
30,PER40,27
30,PER41,20
30,PER42,17
30,PER43,13
30,PER44,12
30,PER45,7
30,PER46,6
30,PER47,3
30,PER8,3
30,PER9,7
31,PER10,15
31,PER11,30
31,PER12,29
31,PER13,43
31,PER14,62
31,PER15,81
31,PER16,105
31,PER17,122
31,PER18,131
31,PER19,138
31,PER20,145
31,PER21,147
31,PER22,154
31,PER23,156
31,PER24,147
31,PER25,152
31,PER26,158
31,PER27,153
31,PER28,156
31,PER29,162
31,PER30,174
31,PER31,190
31,PER32,193
31,PER33,212
31,PER34,225
31,PER35,242
31,PER36,269
31,PER37,252
31,PER38,226
31,PER39,196
31,PER40,149
31,PER41,114
31,PER42,69
31,PER43,61
31,PER44,42
31,PER45,33
31,PER46,15
31,PER47,10
31,PER8,6
31,PER9,10
32,PER10,5
32,PER11,5
32,PER12,6
32,PER13,8
32,PER14,13
32,PER15,14
32,PER16,13
32,PER17,10
32,PER18,8
32,PER19,10
32,PER20,12
32,PER21,16
32,PER22,16
32,PER23,15
32,PER24,15
32,PER25,12
32,PER26,11
32,PER27,14
32,PER28,13
32,PER29,12
32,PER30,12
32,PER31,13
32,PER32,20
32,PER33,20
32,PER34,17
32,PER35,16
32,PER36,14
32,PER37,15
32,PER38,13
32,PER39,11
32,PER40,11
32,PER41,12
32,PER42,6
32,PER43,2
32,PER44,2
32,PER45,1
33,PER11,4
33,PER12,9
33,PER13,19
33,PER14,26
33,PER15,34
33,PER16,39
33,PER17,39
33,PER18,41
33,PER19,43
33,PER20,46
33,PER21,45
33,PER22,43
33,PER23,43
33,PER24,47
33,PER25,48
33,PER26,48
33,PER27,55
33,PER28,51
33,PER29,43
33,PER30,45
33,PER31,44
33,PER32,50
33,PER33,49
33,PER34,39
33,PER35,44
33,PER36,52
33,PER37,51
33,PER38,48
33,PER39,33
33,PER40,25
33,PER41,15
33,PER42,10
33,PER43,4
33,PER44,2
33,PER45,2
34,PER10,11
34,PER11,15
34,PER12,18
34,PER13,30
34,PER14,54
34,PER15,69
34,PER16,75
34,PER17,81
34,PER18,84
34,PER19,84
34,PER20,81
34,PER21,78
34,PER22,78
34,PER23,82
34,PER24,86
34,PER25,83
34,PER26,82
34,PER27,78
34,PER28,75
34,PER29,69
34,PER30,61
34,PER31,60
34,PER32,56
34,PER33,55
34,PER34,64
34,PER35,66
34,PER36,71
34,PER37,75
34,PER38,67
34,PER39,59
34,PER40,53
34,PER41,39
34,PER42,28
34,PER43,19
34,PER44,17
34,PER45,14
34,PER46,6
34,PER47,5
34,PER8,1
34,PER9,1
35,PER10,46
35,PER11,62
35,PER12,119
35,PER13,241
35,PER14,379
35,PER15,467
35,PER16,519
35,PER17,533
35,PER18,551
35,PER19,562
35,PER20,569
35,PER21,580
35,PER22,589
35,PER23,578
35,PER24,563
35,PER25,552
35,PER26,545
35,PER27,559
35,PER28,534
35,PER29,477
35,PER30,399
35,PER31,320
35,PER32,285
35,PER33,238
35,PER34,181
35,PER35,144
35,PER36,118
35,PER37,105
35,PER38,77
35,PER39,67
35,PER40,44
35,PER41,38
35,PER42,28
35,PER43,25
35,PER44,18
35,PER45,16
35,PER46,13
35,PER47,8
35,PER8,10
35,PER9,19
36,PER10,5
36,PER11,6
36,PER12,9
36,PER13,15
36,PER14,20
36,PER15,23
36,PER16,26
36,PER17,28
36,PER18,28
36,PER19,29
36,PER20,28
36,PER21,28
36,PER22,30
36,PER23,32
36,PER24,32
36,PER25,35
36,PER26,35
36,PER27,33
36,PER28,31
36,PER29,27
36,PER30,29
36,PER31,26
36,PER32,21
36,PER33,19
36,PER34,15
36,PER35,12
36,PER36,11
36,PER37,11
36,PER38,9
36,PER39,6
36,PER40,3
36,PER41,2
36,PER42,2
36,PER43,2
36,PER44,1
36,PER45,1
36,PER46,1
36,PER8,1
36,PER9,2
37,PER10,5
37,PER11,13
37,PER12,19
37,PER13,29
37,PER14,43
37,PER15,50
37,PER16,59
37,PER17,64
37,PER18,71
37,PER19,72
37,PER20,73
37,PER21,78
37,PER22,77
37,PER23,75
37,PER24,74
37,PER25,74
37,PER26,80
37,PER27,80
37,PER28,74
37,PER29,71
37,PER30,65
37,PER31,61
37,PER32,54
37,PER33,49
37,PER34,44
37,PER35,38
37,PER36,34
37,PER37,30
37,PER38,25
37,PER39,19
37,PER40,17
37,PER41,13
37,PER42,10
37,PER43,7
37,PER44,6
37,PER45,2
37,PER46,1
37,PER47,1
37,PER8,1
37,PER9,2
38,PER10,4
38,PER11,7
38,PER12,9
38,PER13,11
38,PER14,27
38,PER15,34
38,PER16,42
38,PER17,36
38,PER18,34
38,PER19,34
38,PER20,36
38,PER21,37
38,PER22,36
38,PER23,42
38,PER24,44
38,PER25,46
38,PER26,47
38,PER27,50
38,PER28,50
38,PER29,41
38,PER30,30
38,PER31,30
38,PER32,34
38,PER33,35
38,PER34,43
38,PER35,43
38,PER36,50
38,PER37,53
38,PER38,36
38,PER39,36
38,PER40,32
38,PER41,23
38,PER42,9
38,PER43,10
38,PER44,10
38,PER45,2
38,PER8,1
38,PER9,2
39,PER10,1
39,PER11,1
39,PER12,4
39,PER13,5
39,PER14,7
39,PER15,7
39,PER16,5
39,PER17,5
39,PER18,5
39,PER19,4
39,PER20,6
39,PER21,6
39,PER22,6
39,PER23,10
39,PER24,7
39,PER25,6
39,PER26,6
39,PER27,5
39,PER28,4
39,PER29,4
39,PER30,4
39,PER31,6
39,PER32,7
39,PER33,4
39,PER34,4
39,PER35,7
39,PER36,7
39,PER37,6
39,PER38,6
39,PER39,5
39,PER40,4
39,PER41,4
39,PER42,5
39,PER43,3
39,PER44,1
39,PER45,1
39,PER8,1
39,PER9,1
40,PER10,3
40,PER11,5
