"Freight Flows","Lat","Long","Grouping","Daily$","DailyTons"
"I-205 WB Stafford",45.372744,-122.727953,"Coal, Oil, Waste, etc.",3093211,7593
"I-205 WB Stafford",45.372744,-122.727953,"Electronics",221926,19
"I-205 WB Stafford",45.372744,-122.727953,"Food",1577781,1159
"I-205 WB Stafford",45.372744,-122.727953,"Gravel, Sand, etc.",20215,1613
"I-205 WB Stafford",45.372744,-122.727953,"Machinery",1897066,1094
"I-205 WB Stafford",45.372744,-122.727953,"Misc manufactured",73602,35
"I-205 WB Stafford",45.372744,-122.727953,"Motor Vehicles, etc.",47331,5
"I-205 WB Stafford",45.372744,-122.727953,"Wood, Paper, etc.",1876634,3350
"I-5 NB Fremont",45.551016,-122.678837,"Agriculture",1495228,3253
"I-5 NB Fremont",455.51016,-1226.78837,"All Goods",20388199,33246
"I-5 NB Fremont",45.551016,-122.678837,"Chemical",845045,2336
"I-5 NB Fremont",45.551016,-122.678837,"Coal, Oil, Waste, etc.",5680693,13945
"I-5 NB Fremont",45.551016,-122.678837,"Electronics",661452,57
"I-5 NB Fremont",45.551016,-122.678837,"Food",4895773,3595
"I-5 NB Fremont",45.551016,-122.678837,"Gravel, Sand, etc.",31309,2498
"I-5 NB Fremont",45.551016,-122.678837,"Machinery",2579639,1488
"I-5 NB Fremont",45.551016,-122.678837,"Misc manufactured",730669,349
"I-5 NB Fremont",45.551016,-122.678837,"Motor Vehicles, etc.",276629,27
"I-5 NB Fremont",45.551016,-122.678837,"Wood, Paper, etc.",3191761,5698
"I-5 NB I-205",45.347186,-122.766821,"Agriculture",846401,1841
"I-5 NB I-205",453.47186,-1227.66821,"All Goods",21971188,34752
"I-5 NB I-205",45.347186,-122.766821,"Chemical",1006947,2784
"I-5 NB I-205",45.347186,-122.766821,"Coal, Oil, Waste, etc.",5991009,14706
"I-5 NB I-205",45.347186,-122.766821,"Electronics",508050,44
"I-5 NB I-205",45.347186,-122.766821,"Food",4265644,3133
"I-5 NB I-205",45.347186,-122.766821,"Gravel, Sand, etc.",46261,3691
"I-5 NB I-205",45.347186,-122.766821,"Machinery",5096973,2940
"I-5 NB I-205",45.347186,-122.766821,"Misc manufactured",126803,61
"I-5 NB I-205",45.347186,-122.766821,"Motor Vehicles, etc.",1028877,100
"I-5 NB I-205",45.347186,-122.766821,"Wood, Paper, etc.",3054223,5452
"I-5 NB Jantzen Beach",45.607426,-122.681354,"Agriculture",1377073,2996
"I-5 NB Jantzen Beach",456.07426,-1226.81354,"All Goods",16587115,25144
"I-5 NB Jantzen Beach",45.607426,-122.681354,"Chemical",770718,2131
"I-5 NB Jantzen Beach",45.607426,-122.681354,"Coal, Oil, Waste, etc.",2902560,7125
"I-5 NB Jantzen Beach",45.607426,-122.681354,"Electronics",175808,15
"I-5 NB Jantzen Beach",45.607426,-122.681354,"Food",4264792,3132
"I-5 NB Jantzen Beach",45.607426,-122.681354,"Gravel, Sand, etc.",21115,1685
"I-5 NB Jantzen Beach",45.607426,-122.681354,"Machinery",2983551,1721
"I-5 NB Jantzen Beach",45.607426,-122.681354,"Misc manufactured",721993,345
"I-5 NB Jantzen Beach",45.607426,-122.681354,"Motor Vehicles, etc.",12192,1
"I-5 NB Jantzen Beach",45.607426,-122.681354,"Wood, Paper, etc.",3357314,5993
"I-5 NB Lombard",45.581091,-122.67848,"Agriculture",1265520,2753
"I-5 NB Lombard",455.81091,-1226.7848,"All Goods",17060599,28491
"I-5 NB Lombard",45.581091,-122.67848,"Chemical",820133,2267
