"STATION","MODE","LAT","LONG","TIMEOFDAY","BOARDINGS","ALIGHTINGS"
"62892","BUS",34.3247095562571,-83.8159205168555,"DAILY",0,0
"62894","BUS",34.3299001093992,-83.8136398025659,"DAILY",8,11
"62895","BUS",34.333069999991,-83.813070290869,"DAILY",1,1
"62898","BUS",34.315869633274,-83.8263397800313,"DAILY",3,3
"62900","BUS",34.316870451072,-83.8255501994117,"DAILY",7,7
"62902","BUS",34.3176600696768,-83.8215702862888,"DAILY",0,0
"62932","BUS",34.2205997702335,-83.8622603632174,"DAILY",2,8
"62933","BUS",34.221789906227,-83.8607798995557,"DAILY",1,0
"62941","BUS",34.2516898136135,-83.8449296021183,"DAILY",7,2
"62944","BUS",34.2592301956157,-83.8461206418029,"DAILY",3,5
"62947","BUS",34.2710202478681,-83.839050427505,"DAILY",1,1
"62949","BUS",34.275079648575,-83.8410697265895,"DAILY",7,11
"62960","BUS",34.2915398667685,-83.821719666406,"DAILY",64.06,5
"62961","BUS",34.2945204391647,-83.8239203556328,"DAILY",43.01,79.04
"63772","BUS",34.2919204058552,-83.8209394220437,"DAILY",27.98,89
"63773","BUS",34.2955802405211,-83.8237096229674,"DAILY",104,52
"63779","BUS",34.2988595361004,-83.827049335588,"DAILY",36,1
"63888","BUS",34.2533204235999,-83.8570293916127,"DAILY",1,1
"63889","BUS",34.2552297784672,-83.8534496038038,"DAILY",2,1
"63891","BUS",34.2590199477703,-83.8475504229248,"DAILY",2,1
"63932","BUS",34.2725395501716,-83.8620696368177,"DAILY",21,8
"63935","BUS",34.2621203899789,-83.8506593966143,"DAILY",5,9
"63939","BUS",34.2572999110986,-83.8730504091841,"DAILY",1,0
"63941","BUS",34.2555399178228,-83.8616601752464,"DAILY",1,2
"63973","BUS",34.3002703847642,-83.8243098109384,"DAILY",143.01,71
"64013","BUS",33.762809346287,-84.3905151389772,"DAILY",38,8
"64038","BUS",33.7655701573607,-84.3919115763229,"DAILY",0,2
"64039","BUS",33.769796043918,-84.3862484693792,"DAILY",9,4
"64049","BUS",33.7752035043395,-84.3873101352123,"DAILY",7,7
"64065","BUS",33.7749904024509,-84.370890326078,"DAILY",0,0
"64066","BUS",33.7722933316742,-84.3714531690197,"DAILY",17.01,23.03
"64067","BUS",33.7733816734621,-84.3719306518944,"DAILY",0,0
"64073","BUS",33.7699301839461,-84.3718199505575,"DAILY",10,14
"64074","BUS",33.7639500121992,-84.3699767066111,"DAILY",39,42
"64076","BUS",33.7625971957461,-84.3719733319278,"DAILY",69,65
