FROM,TO,Travel Time Savings
Lents,ForestGrove,-10749.930521527958
Lents,Gateway,281295.3575161763
Lents,Gresham,-570.5236203824811
Lents,HappyValley,23222.748303067296
Lents,Hillsboro,-92404.51407375807
Lents,Lents,45512.402339345535
Lents,MilwaukietoLakeOswego,-321622.2969890039
Lents,PortlandCentralCity,-681503.6597118403
Lents,Rivergate,2839.265706200848
Lents,SherwoodtoNewberg,-76158.09024739778
Lents,Tigard,-407139.32188016677
Lents,Tualatin,-372439.288917011
Lents,Vancouver,46788.720432642695
Lents,WestLinntoOregonCity,320261.58005287097
Lents,WillametteValley,78175.25764094903
Lents,Wilsonville,-162620.77277342413
MilwaukietoLakeOswego,Beaverton,-310771.6903733981
MilwaukietoLakeOswego,Clackamas,-924065.793203647
MilwaukietoLakeOswego,ClarkCounty,-90399.39247746815
MilwaukietoLakeOswego,ColumbiaCounty,-809.7315249000854
MilwaukietoLakeOswego,Damascus,-108082.0545489294
MilwaukietoLakeOswego,External,0.0
MilwaukietoLakeOswego,FairviewtoWoodVillagetoTroutdale,-86458.24746649375
MilwaukietoLakeOswego,ForestGrove,-7773.800337648709
MilwaukietoLakeOswego,Gateway,-288359.09471007943
MilwaukietoLakeOswego,Gresham,-91061.67253997957
MilwaukietoLakeOswego,HappyValley,-160336.67538160644
MilwaukietoLakeOswego,Hillsboro,-45816.294514236535
MilwaukietoLakeOswego,Lents,-255364.9223579996
MilwaukietoLakeOswego,MilwaukietoLakeOswego,-1318192.184141793
MilwaukietoLakeOswego,PortlandCentralCity,-2095718.3605118624
MilwaukietoLakeOswego,Rivergate,-229418.30332705608
MilwaukietoLakeOswego,SherwoodtoNewberg,-81990.7524224326
MilwaukietoLakeOswego,Tigard,-577099.4193172497
MilwaukietoLakeOswego,Tualatin,-519739.0895915271
MilwaukietoLakeOswego,Vancouver,-214698.79736695648
MilwaukietoLakeOswego,WestLinntoOregonCity,-1939053.3253258432
MilwaukietoLakeOswego,WillametteValley,-98220.73407793928
MilwaukietoLakeOswego,Wilsonville,-319968.7358385561
PortlandCentralCity,Beaverton,-895195.1793046243
PortlandCentralCity,Clackamas,-254595.5750392729
PortlandCentralCity,ClarkCounty,-583152.7152375267
PortlandCentralCity,ColumbiaCounty,-3015.253249718797
PortlandCentralCity,Damascus,-34922.202780987674
PortlandCentralCity,External,0.0
PortlandCentralCity,FairviewtoWoodVillagetoTroutdale,-198846.4948254796
PortlandCentralCity,ForestGrove,-29637.33274320939
PortlandCentralCity,Gateway,-843997.454501651
PortlandCentralCity,Gresham,-107584.91036947122
PortlandCentralCity,HappyValley,-31031.630959623966
PortlandCentralCity,Hillsboro,-279860.6178774809
PortlandCentralCity,Lents,-356658.29394539853
PortlandCentralCity,MilwaukietoLakeOswego,-1247448.5168835474
PortlandCentralCity,PortlandCentralCity,-2938415.5100353933
PortlandCentralCity,Rivergate,-577505.5743617131
PortlandCentralCity,SherwoodtoNewberg,-101908.13514324736
PortlandCentralCity,Tigard,-1151621.0527437078
PortlandCentralCity,Tualatin,-667586.1482385325
PortlandCentralCity,Vancouver,-1366254.819979394
PortlandCentralCity,WestLinntoOregonCity,-166054.0251057641
PortlandCentralCity,WillametteValley,33924.67663115888
PortlandCentralCity,Wilsonville,-301443.4427824454
Rivergate,Beaverton,-195379.07873659156
Rivergate,Clackamas,138202.0910897512
Rivergate,ClarkCounty,-353887.4512477555
Rivergate,ColumbiaCounty,-2482.598784742213
Rivergate,Damascus,-2808.2863121500764
Rivergate,External,0.0
Rivergate,FairviewtoWoodVillagetoTroutdale,-20828.641895298675
Rivergate,ForestGrove,-12872.28127087914
Rivergate,Gateway,-47467.64181074049
Rivergate,Gresham,-8859.325209835039
Rivergate,HappyValley,14310.751587904986
Rivergate,Hillsboro,-112122.67100747713
Rivergate,Lents,21388.85069275805
Rivergate,MilwaukietoLakeOswego,-128898.0858036432
Rivergate,PortlandCentralCity,-92498.12638481335
Rivergate,Rivergate,-45790.981370438014
Rivergate,SherwoodtoNewberg,-29610.314462446313
Rivergate,Tigard,-203826.82526995995
Rivergate,Tualatin,-174406.8842468693
Rivergate,Vancouver,-639384.3411571074
Rivergate,WestLinntoOregonCity,100625.91205980988
Rivergate,WillametteValley,38634.86636084659
Rivergate,Wilsonville,-89258.70180850806
SherwoodtoNewberg,Beaverton,-77469.99125977082
SherwoodtoNewberg,Clackamas,-343976.241335599
SherwoodtoNewberg,ClarkCounty,-88786.60198111279
SherwoodtoNewberg,ColumbiaCounty,-563.1497692434391
SherwoodtoNewberg,Damascus,-61632.136712390165
SherwoodtoNewberg,External,0.0
SherwoodtoNewberg,FairviewtoWoodVillagetoTroutdale,-115505.67509704099
SherwoodtoNewberg,ForestGrove,2500.107942323372
SherwoodtoNewberg,Gateway,-243041.17001237636
SherwoodtoNewberg,Gresham,-72739.36600804776
SherwoodtoNewberg,HappyValley,-61000.23796021131
SherwoodtoNewberg,Hillsboro,-15812.716845103274
SherwoodtoNewberg,Lents,-140270.07562587163
SherwoodtoNewberg,MilwaukietoLakeOswego,-230667.4584171912
SherwoodtoNewberg,PortlandCentralCity,-530673.8686891126
SherwoodtoNewberg,Rivergate,-92156.08004098329
SherwoodtoNewberg,SherwoodtoNewberg,8127.4683916205095
SherwoodtoNewberg,Tigard,-33460.467069260434
SherwoodtoNewberg,Tualatin,113130.55742946689
SherwoodtoNewberg,Vancouver,-90076.48168332617
SherwoodtoNewberg,WestLinntoOregonCity,-391228.623341853
SherwoodtoNewberg,WillametteValley,-27335.404759486264
SherwoodtoNewberg,Wilsonville,-7692.968937242114
Tigard,Beaverton,-42401.805364384934
Tigard,Clackamas,-664881.3973471458
Tigard,ClarkCounty,-149093.75165202498
Tigard,ColumbiaCounty,-1549.3946444223684
Tigard,Damascus,-99880.199065422
Tigard,External,0.0
Tigard,FairviewtoWoodVillagetoTroutdale,-135886.22871047293
Tigard,ForestGrove,509.83360097502367
Tigard,Gateway,-402905.3310529688
Tigard,Gresham,-77481.46525061004
Tigard,HappyValley,-107603.67979005443
Tigard,Hillsboro,2937.4667114535923
Tigard,Lents,-217855.63144484736
Tigard,MilwaukietoLakeOswego,-348728.935149003
Tigard,PortlandCentralCity,-1270223.176749486
Tigard,Rivergate,-205975.41283125704
Tigard,SherwoodtoNewberg,9087.715536608095
Tigard,Tigard,13466.166964952363
Tigard,Tualatin,132541.69839361074
Tigard,Vancouver,-220948.74489924838
Tigard,WestLinntoOregonCity,-628502.5078806691
Tigard,WillametteValley,-51895.53028402153
Tigard,Wilsonville,15061.565035413814
Tualatin,Beaverton,-16314.76108663877
Tualatin,Clackamas,-504754.2627276258
Tualatin,ClarkCounty,-195246.459893766
Tualatin,ColumbiaCounty,-1039.3346671728332
Tualatin,Damascus,-74422.86269422303
Tualatin,External,0.0
Tualatin,FairviewtoWoodVillagetoTroutdale,-160461.01475397008
Tualatin,ForestGrove,3573.492806215247
Tualatin,Gateway,-315306.4601408213
Tualatin,Gresham,-87324.68939094446
Tualatin,HappyValley,-81862.74654429164
Tualatin,Hillsboro,6456.391874079355
Tualatin,Lents,-192607.21497243035
Tualatin,MilwaukietoLakeOswego,-452605.21204470156
Tualatin,PortlandCentralCity,-673081.247290145
Tualatin,Rivergate,-154873.0677512135
Tualatin,SherwoodtoNewberg,21106.51826610124
Tualatin,Tigard,-89656.10789182677
Tualatin,Tualatin,29917.977473033312
Tualatin,Vancouver,-202514.0834928494
Tualatin,WestLinntoOregonCity,-550374.1794328212
Tualatin,WillametteValley,-44407.4891768993
Tualatin,Wilsonville,-5232.102750579948
Vancouver,Beaverton,145238.57047061896
Vancouver,Clackamas,328580.44796214794
Vancouver,ClarkCounty,288955.1510100986
Vancouver,ColumbiaCounty,8622.413247213102
Vancouver,Damascus,44218.68162988116
Vancouver,External,0.0
Vancouver,FairviewtoWoodVillagetoTroutdale,288217.5686978296
Vancouver,ForestGrove,523.888162933271
Vancouver,Gateway,945627.9723917188
Vancouver,Gresham,112638.47695023852
Vancouver,HappyValley,46611.88505528023
Vancouver,Hillsboro,9950.564347827994
Vancouver,Lents,213825.13404355568
Vancouver,MilwaukietoLakeOswego,119181.54384837426
Vancouver,PortlandCentralCity,949811.0597445705
Vancouver,Rivergate,885156.4893860738
Vancouver,SherwoodtoNewberg,-12042.001887356553
Vancouver,Tigard,-25299.143223631803
Vancouver,Tualatin,-92431.31059972492
Vancouver,Vancouver,-250011.8360640304
Vancouver,WestLinntoOregonCity,170275.74490401385
Vancouver,WillametteValley,74821.3034219937
Vancouver,Wilsonville,-18251.633013577306
WestLinntoOregonCity,Beaverton,-654636.9569336126
WestLinntoOregonCity,Clackamas,97496.46598876768
WestLinntoOregonCity,ClarkCounty,105009.66889502275
WestLinntoOregonCity,ColumbiaCounty,1300.5583547001975
WestLinntoOregonCity,Damascus,-92600.75728018404
WestLinntoOregonCity,External,0.0
WestLinntoOregonCity,FairviewtoWoodVillagetoTroutdale,21299.908274997924
WestLinntoOregonCity,ForestGrove,-33992.27440276576
WestLinntoOregonCity,Gateway,378765.52103957685
WestLinntoOregonCity,Gresham,-36571.75706178007
WestLinntoOregonCity,HappyValley,-79123.17165179418
WestLinntoOregonCity,Hillsboro,-316036.7898455921
WestLinntoOregonCity,Lents,142320.6787742763
WestLinntoOregonCity,MilwaukietoLakeOswego,-1844998.417394408
WestLinntoOregonCity,PortlandCentralCity,94698.71083955273
WestLinntoOregonCity,Rivergate,136955.14074449742
WestLinntoOregonCity,SherwoodtoNewberg,-80860.43261377457
WestLinntoOregonCity,Tigard,-698526.9856072065
WestLinntoOregonCity,Tualatin,-518053.55471397104
WestLinntoOregonCity,Vancouver,46951.10753047191
WestLinntoOregonCity,WestLinntoOregonCity,-4896142.600621602
WestLinntoOregonCity,WillametteValley,-191906.79273656782
WestLinntoOregonCity,Wilsonville,-421433.57284864923
WillametteValley,Beaverton,-494082.26146416593
WillametteValley,Clackamas,709208.2760953967
WillametteValley,ClarkCounty,166587.84872451492
WillametteValley,ColumbiaCounty,1576.9430764595936
WillametteValley,Damascus,11365.063992044585
WillametteValley,External,0.0
WillametteValley,FairviewtoWoodVillagetoTroutdale,114771.47377230064
WillametteValley,ForestGrove,-22574.119902036342
WillametteValley,Gateway,626148.0919365707
WillametteValley,Gresham,57394.41144675597
WillametteValley,HappyValley,66132.09554778993
WillametteValley,Hillsboro,-237099.0287504088
WillametteValley,Lents,320464.12987722445
WillametteValley,MilwaukietoLakeOswego,-316818.6317645798
WillametteValley,PortlandCentralCity,662087.5186342754
WillametteValley,Rivergate,174251.64714960402
WillametteValley,SherwoodtoNewberg,-56625.345810025115
WillametteValley,Tigard,-471640.0566680395
WillametteValley,Tualatin,-360357.51565583155
WillametteValley,Vancouver,112457.66123052746
WillametteValley,WestLinntoOregonCity,-376005.96122412797
WillametteValley,WillametteValley,-1258.8498169815362
WillametteValley,Wilsonville,-178935.80138817255
Wilsonville,Beaverton,-128809.32540049953
Wilsonville,Clackamas,-381648.089516001
Wilsonville,ClarkCounty,-127023.18832332149
Wilsonville,ColumbiaCounty,-1556.5142306075265
Wilsonville,Damascus,-77909.51437272433
Wilsonville,External,0.0
Wilsonville,FairviewtoWoodVillagetoTroutdale,-122702.13445082668
Wilsonville,ForestGrove,-3153.150639319452
Wilsonville,Gateway,-172923.45568882802
Wilsonville,Gresham,-72688.19830909441
Wilsonville,HappyValley,-76918.49013597005
Wilsonville,Hillsboro,-43464.795669195584
Wilsonville,Lents,-125242.72283961208
Wilsonville,MilwaukietoLakeOswego,-592491.8326500647
Wilsonville,PortlandCentralCity,-729939.2217488769
Wilsonville,Rivergate,-101448.23155235176
Wilsonville,SherwoodtoNewberg,-28597.483987822692
Wilsonville,Tigard,-180081.87898357568
Wilsonville,Tualatin,-80912.46900655057
Wilsonville,Vancouver,-124966.98855517963
Wilsonville,WestLinntoOregonCity,-864197.4255249415
Wilsonville,WillametteValley,-54724.44557573061
Wilsonville,Wilsonville,-235342.39231649254
